stage,sample_count,duration_seconds,max_cpu_busy_percent,max_ram_used_percent,max_disk_used_percent,max_gpu0_used_percent,max_gpu1_used_percent,max_gpu2_used_percent,max_gpu3_used_percent,log_or_evidence_path,status
formal_runtime_guard,803,1235.919096999,78.34943301133977,23.37337557526516,59.17162409928397,23.026529947916668,1.8391927083333333,1.8391927083333333,13.102213541666666,artifacts/r9_meanflow_flow_map_guidance/campaigns/r9-report-only-formal-v9/formal_monitor/runtime_guard_samples.jsonl,completed
formal_monitor_session,292,1521.248325748,84.54258675078864,23.44371864029653,59.17166871405322,22.64404296875,1.8391927083333333,1.8391927083333333,13.102213541666666,artifacts/r9_meanflow_flow_map_guidance/campaigns/r9-report-only-formal-v9/formal_monitor/session_samples.jsonl,completed
report_only_finalize2,0,397.35192370414734,observed_process_cpu_about_100_single_core,process_rss_about_0.2_percent,no_new_large_outputs,0,0,0,0,artifacts/r9_meanflow_flow_map_guidance/campaigns/r9-report-only-formal-v9/operator_logs/full-reportonly-finalize2-20260730T200805CST.log,completed_report_only_no_generation_or_evaluator_execution
