arm_id,sample_count,candidate_exact_one_count,e0,delta_e0,delta_edev,niqe,native_niqe,fid,native_fid,kid,native_kid,sharpness,native_sharpness,arcface_delta,arcface_delta_u95,hard_gate_pass,failed_gates,R,Q,P,pareto,selected,status
eta0p125_baseline,32,32,0.8187053985893726,0.8016305248020217,0.3825958592206007,4.6898436111046955,4.73994880501704,,,,,668.3387277438815,668.8278228822091,0.007478855427381308,,True,,0.09160719811916351,0.051861818823612404,0.6260572286309347,True,True,gate_survivor_no_breakthrough
eta0p125_disable_i1,32,32,0.7307642041705549,0.7136893303832039,0.29396309655567165,4.440067404523576,4.73994880501704,,,,,640.2233914254248,668.8278228822091,0.0026294978526308728,,False,e0,-0.025647727772593498,0.0076126266563398826,0.8685251073684563,False,False,no_gate_survivor
eta0p125_disable_i2,32,32,0.7440670020878315,0.7269921283004805,0.3300539473857498,4.757182681550751,4.73994880501704,,,,,632.7572610927091,668.8278228822091,0.004604179196161764,,False,e0;sharpness,-0.007910663882891336,-0.004137908073040597,0.7697910401919118,False,False,no_gate_survivor
eta0p125_disable_i3,32,32,0.69879171642242,0.681716842635069,0.31840209673100617,4.768755667936547,4.73994880501704,,,,,661.6175627999983,668.8278228822091,0.007943859504649067,,False,e0,-0.06827771143677334,0.04128374442958194,0.6028070247675467,False,False,no_gate_survivor
